time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20170111T051033,159.6,34577,403126,159.8,3134,408584
20170111T081000,158.6,50,50,0,0,0
20170111T081000,158.6,50,39539,160.4,696,696
20170111T081500,157,326,39939,157,326,79595
20170111T081502,157,362,44148,157,362,81251
20170111T081503,159.2,362,44648,159.2,362,81251
20170111T081646,158.8,587,85095,158.8,587,173884
20170111T081727,158.8,623,89281,158.8,623,200946
20170111T081925,159,1867,91532,159,1867,232267
20170111T082008,159.2,1867,93030,159.2,1867,239699
20170111T082147,159.7,3585,97100,159.7,3585,252116
20170111T083410,159.7,3611,106720,159.7,3611,279504
20170111T084204,159.7,3612,106842,159.7,3612,298254
20170111T084214,159.7,3611,106841,159.7,3611,298254
20170111T084332,159.8,2616,106841,159.8,2616,297154
20170111T084500,159.8,2802,107841,159.8,2802,297354
20170111T084500,159.8,3102,107841,159.8,3102,297354
20170111T084609,159.8,3128,109383,159.8,3128,305979
20170111T084959,159.8,3214,117107,159.8,3214,307850
20170111T085005,159.9,3488,119237,159.9,3488,308546
20170111T085005,159.8,3781,119237,159.8,3781,309113
20170111T085005,159.8,3948,119237,159.8,3948,309280
20170111T085010,159.9,4196,121009,159.9,4196,309280
20170111T085010,159.8,5812,121009,159.8,5812,311144
20170111T085013,159.8,5817,121712,159.8,5817,311144
20170111T085020,159.8,6176,122503,159.8,6176,312603
20170111T085020,159.9,6420,123355,159.9,6420,312603
20170111T085020,159.9,6726,123408,159.9,6726,312603
20170111T085040,159.8,8136,123408,159.8,8136,314563
20170111T085040,159.8,8482,124263,159.8,8482,314909
20170111T085102,159.7,9829,124263,159.7,9829,314909
20170111T085102,159.7,9138,123572,159.7,9138,314909
20170111T085102,159.4,8750,122994,159.4,8750,314909
20170111T085102,159.7,9569,124003,159.7,9569,314909
20170111T085102,159.7,10273,124707,159.7,10273,314909
20170111T085359,160,13225,136889,160,13225,315991
20170111T085359,160,12216,138012,160,12216,315991
20170111T085359,160,14110,138012,160,14110,315991
20170111T085359,160,15052,138012,160,15052,315991
20170111T085400,160,15211,139930,160,15211,315991
20170111T085400,160,16970,139930,160,16970,315991
20170111T085400,160,15076,140669,160,15076,315991
20170111T085400,160,17709,140669,160,17709,315991
20170111T085400,160,17885,140845,160,17885,315991
20170111T085421,160,13832,138871,160,13832,316871
20170111T085421,159.9,11205,136238,159.9,11205,316871
20170111T085421,159.8,11191,136079,159.8,11191,316871
20170111T085421,160,12281,137320,160,12281,316871
20170111T085421,160,12332,137371,160,12332,316871
20170111T085422,160,12281,137320,160,12281,316871
20170111T085422,159.9,11345,136378,159.9,11345,316871
20170111T085422,160,12211,137250,160,12211,316871
20170111T085429,159.9,11678,136711,159.9,11678,316871
20170111T085429,159.8,11191,135839,159.8,11191,316871
20170111T085429,159.9,11678,136711,159.9,11678,316871
20170111T085501,159.9,11627,134812,159.9,11627,316871
20170111T085532,159.9,11622,134794,159.9,11622,317271
20170111T085536,159.8,11881,134793,159.8,11881,317271
20170111T085538,159.8,12356,135684,159.8,12356,317271
20170111T085647,159.8,12456,135868,159.8,12456,318971
20170111T085647,159.8,12452,135829,159.8,12452,318971
20170111T085655,159.8,12560,135829,159.8,12560,319079
20170111T085726,159.8,11979,137658,159.8,11979,320947
20170111T085726,159.8,12607,137658,159.8,12607,320947
20170111T085726,159.8,12606,137657,159.8,12606,320947
20170111T085727,159.8,12131,137657,159.8,12131,320947
20170111T085727,159.8,12635,137657,159.8,12635,320947
20170111T085750,159.8,12636,137713,159.8,12636,321049
20170111T085800,159.8,13636,137784,159.8,13636,321049
20170111T085800,159.7,14620,137784,159.7,14620,321049
20170111T085800,159.3,14229,136542,159.3,14229,321049
20170111T085800,159.2,14229,135670,159.2,14229,321049
20170111T085800,159.7,14471,137810,159.7,14471,321049
20170111T085800,159.7,15511,138850,159.7,15511,321049
20170111T085800,159.7,16136,139626,159.7,16136,321049
20170111T085801,159.7,16850,140189,159.7,16850,322944
20170111T085801,159.3,16124,140550,159.3,16124,322944
20170111T085801,159.7,17211,140550,159.7,17211,322944
20170111T085801,159.7,18031,142192,159.7,18031,322944
20170111T085802,159.2,21110,142332,159.2,21110,332944
20170111T085802,159.2,18609,139831,159.2,18609,332944
20170111T085802,159.2,18469,139691,159.2,18469,332944
20170111T085802,159.2,18334,139556,159.2,18334,332944
20170111T085802,159.2,17294,138516,159.2,17294,332944
20170111T085802,159.2,20923,142145,159.2,20923,332944
20170111T085802,159.2,22419,143641,159.2,22419,332944
20170111T085818,159.2,22426,144256,159.2,22426,352944
20170111T085820,159.2,23024,146354,159.2,23024,352944
20170111T085821,159.2,23198,146528,159.2,23198,352944
20170111T085830,159.2,24388,147718,159.2,24388,357944
20170111T085830,159.2,20759,144089,159.2,20759,359528
20170111T085830,159.2,24927,148257,159.2,24927,359528
20170111T085835,159.2,23980,148310,159.2,23980,359788
20170111T085835,159.2,25849,150179,159.2,25849,359788
20170111T085835,159.2,26060,150390,159.2,26060,359926
20170111T085840,159.2,26405,156735,159.2,26405,359958
20170111T085846,159.2,26408,156738,159.2,26408,360009
20170111T085934,159.2,24539,156849,159.2,24539,360010
20170111T085934,159.2,26519,156849,159.2,26519,360010
20170111T085934,159.2,26518,156848,159.2,26518,360010
20170111T085935,159.2,26620,156950,159.2,26620,360026
20170111T085935,159.2,26622,156952,159.2,26622,360026
20170111T085950,159.2,26570,158762,159.2,26570,360834
20170111T085950,159.2,29232,161424,159.2,29232,363496
20170111T085950,159.2,25064,159918,159.2,25064,366549
20170111T085950,159.2,24853,159707,159.2,24853,366549
20170111T085950,159.2,30249,165103,159.2,30249,366549
20170111T085950,159.2,30654,165508,159.2,30654,366549
20170111T085951,159.2,31091,165945,159.2,31091,367763
20170111T085953,159.2,31100,165954,159.2,31100,367828
